,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.2.0-34-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByHash_14M.tar
,,,,,,,,,,,,VegetaChecksum,11574   249
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[3. 2] ,28 ,1500,20,  102.773µs, 4.297ms, 2.973ms, 7.756ms, 10.824ms, 45.138ms, 66.771ms ,100.00%,^M
silk,[3. 3] ,28 ,1500,20,  104.96µs, 4.274ms, 2.89ms, 7.612ms, 10.797ms, 45.649ms, 63.852ms ,100.00%,^M
silk,[3. 4] ,28 ,1500,20,  102.057µs, 4.08ms, 2.881ms, 7.314ms, 9.73ms, 45.107ms, 65.574ms ,100.00%,^M
silk,[3. 5] ,28 ,1500,20,  105.05µs, 4.369ms, 3.073ms, 8.047ms, 11.312ms, 44.958ms, 65.627ms ,100.00%,^M
rpcdaemon,[1. 1] ,28 ,1,1,  15.024ms, 15.024ms, 15.024ms, 15.024ms, 15.024ms, 15.024ms, 15.024ms ,100.00%,^M
rpcdaemon,[1. 2] ,28 ,1,1,  7.381ms, 7.381ms, 7.381ms, 7.381ms, 7.381ms, 7.381ms, 7.381ms ,100.00%,^M
rpcdaemon,[1. 3] ,28 ,1,1,  8.541ms, 8.541ms, 8.541ms, 8.541ms, 8.541ms, 8.541ms, 8.541ms ,100.00%,^M
rpcdaemon,[1. 4] ,28 ,1,1,  7.609ms, 7.609ms, 7.609ms, 7.609ms, 7.609ms, 7.609ms, 7.609ms ,100.00%,^M
rpcdaemon,[1. 5] ,28 ,1,1,  7.425ms, 7.425ms, 7.425ms, 7.425ms, 7.425ms, 7.425ms, 7.425ms ,100.00%,^M
rpcdaemon,[2. 1] ,33 ,50,30,  471.873µs, 20.139ms, 13.523ms, 28.466ms, 31.99ms, 267.23ms, 548.885ms ,100.00%,^M
rpcdaemon,[2. 2] ,33 ,50,30,  450.576µs, 16.162ms, 13.264ms, 28.348ms, 31.129ms, 58.188ms, 393.015ms ,100.00%,^M
rpcdaemon,[2. 3] ,33 ,50,30,  466.481µs, 13.922ms, 12.316ms, 26.142ms, 28.253ms, 36.039ms, 51.001ms ,100.00%,^M
rpcdaemon,[2. 4] ,33 ,50,30,  460.756µs, 13.83ms, 12.244ms, 26.023ms, 28.154ms, 34.919ms, 49.267ms ,100.00%,^M
rpcdaemon,[2. 5] ,33 ,50,30,  450.193µs, 14.022ms, 12.425ms, 26.189ms, 28.483ms, 35.346ms, 49.45ms ,100.00%,^M
rpcdaemon,[3. 1] ,49 ,1500,20,  2.981ms, 1m19s, 1m5s, 3m5s, 3m18s, 3m28s, 3m31s ,100.00%,^M
rpcdaemon,[3. 2] ,50 ,1500,20,  303.398ms, 2m57s, 3m13s, 5m0s, 5m0s, 5m0s, 5m0s ,74.40%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"^M
rpcdaemon,[3. 3] ,50 ,1500,20,  8.095s, 3m49s, 4m35s, 5m0s, 5m0s, 5m0s, 5m0s ,53.41%,"context deadline exceeded (Client.Timeout or context cancellation while reading body)
"^M
