,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.2.0-34-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getTransactionByHash_13M.tar
,,,,,,,,,,,,VegetaChecksum,04125  1681
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,get_tx_by_hash_with_glaze 2ac446d7a2881932bf5b2c609bc37dc6b29dd7ea
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
rpcdaemon,[2. 5] ,28 ,50,30,  324.922µs, 475.785µs, 441.511µs, 604.009µs, 660.427µs, 850.111µs, 14.935ms ,100.00%,
rpcdaemon,[3. 1] ,28 ,1000,20,  305.632µs, 65.059ms, 22.42ms, 187.53ms, 267.209ms, 708.581ms, 1.672s ,100.00%,
rpcdaemon,[3. 2] ,28 ,1000,20,  7.38ms, 196.795ms, 89.075ms, 489.22ms, 625.486ms, 897.471ms, 1.722s ,100.00%,
rpcdaemon,[3. 3] ,28 ,1000,20,  5.265ms, 12.21ms, 8.926ms, 21.134ms, 31.826ms, 59.02ms, 282.941ms ,100.00%,
rpcdaemon,[3. 4] ,28 ,1000,20,  9.269ms, 846.377ms, 280.239ms, 2.305s, 2.864s, 4.222s, 6.973s ,100.00%,
rpcdaemon,[3. 5] ,28 ,1000,20,  4.444ms, 53.408ms, 7.59ms, 81.061ms, 268.744ms, 971.559ms, 3.127s ,100.00%,
rpcdaemon,[4. 1] ,30 ,2500,20,  8.403ms, 29.08s, 32.983s, 51.926s, 53.836s, 55.686s, 57.129s ,100.00%,
rpcdaemon,[4. 2] ,30 ,2500,20,  470.793µs, 24.315s, 25.557s, 42.505s, 45.477s, 48.007s, 50.182s ,100.00%,
rpcdaemon,[4. 3] ,30 ,2500,20,  26.59ms, 26.443s, 26.879s, 44.196s, 45.86s, 47.345s, 48.141s ,100.00%,
rpcdaemon,[4. 4] ,30 ,2500,20,  10.527ms, 26.773s, 25.139s, 49.03s, 52.021s, 54.851s, 55.722s ,100.00%,
rpcdaemon,[4. 5] ,30 ,2500,20,  1.06ms, 23.723s, 24.55s, 40.256s, 42.814s, 44.167s, 45.026s ,100.00%,
rpcdaemon,[5. 1] ,170 ,10000,20,  375.417ms, 2m37s, 2m27s, 4m48s, 5m0s, 5m0s, 5m1s ,93.82%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"
rpcdaemon,[5. 2] ,688 ,10000,20,  8.103s, 3m6s, 3m1s, 5m0s, 5m0s, 5m0s, 5m3s ,82.58%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"
rpcdaemon,[5. 3] ,797 ,10000,20,  42.074s, 3m39s, 4m48s, 5m1s, 5m1s, 5m3s, 5m5s ,50.94%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"
rpcdaemon,[5. 4] ,797 ,10000,20,  1m30s, 4m7s, 4m45s, 5m0s, 5m0s, 5m0s, 5m1s ,56.03%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"
rpcdaemon,[5. 5] ,797 ,10000,20,  1m29s, 4m5s, 4m37s, 5m0s, 5m1s, 5m2s, 5m3s ,56.32%,"Post ""http://localhost:8545"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
"
